"plant" "nectar_holder_depth_mm" "pollinator" "IT_mm"
"114" "Daucus_carota_carota" 0.5 "Lasioglossum_sp" 1.32
"115" "Daucus_carota_carota" 0.5 "Lasioglossum_smaragdulus??" 1.28
"116" "Daucus_carota_carota" 0.5 "Lasioglossum_smaragdulus??" 1.22
"117" "Daucus_carota_carota" 0.5 "Lasioglossum_sp" 0.78
"118" "Daucus_carota_carota" 0.5 "Lasioglossum_sp" 1.3
"119" "Daucus_carota_carota" 0.5 "Halictus_sp" 1.3
"120" "Dianthus_caryophillus" 29 "Lasioglossum_smaragdulus??" 1.16
"121" "Dianthus_caryophillus" 29 "Lasioglossum_sp" 1.25
"122" "Dianthus_caryophillus" 29 "Lasioglossum_sp" 1.2
"123" "Dorycnium_pentaphylum" 2.24 "Colletes_sp" 1.53
"124" "Dorycnium_pentaphylum" 2.24 "Colletes_sp" 1.98
"125" "Dorycnium_pentaphylum" 2.24 "Colletes_sp" 2.28
"126" "Dorycnium_pentaphylum" 2.24 "Colletes_sp" 2
"127" "Dorycnium_pentaphylum" 2.24 "Colletes_sp" 1.88
"128" "Dorycnium_pentaphylum" 2.24 "Colletes_sp" 1.87
"129" "Echium_sabulicola" 9 "Lasioglossum_sp" 0.9
"130" "Echium_sabulicola" 9 "Ceratina_dentiventris" 1.09
"131" "Eryngium_campestre" 2 "Lasioglossum_sp" 0.87
"132" "Eryngium_campestre" 2 "Andrena_carbonaria?" 3.05
"133" "Eryngium_campestre" 2 "Lasioglossum_smaragdulus??" 1.24
"134" "Eryngium_campestre" 2 "Lasioglossum_sp" 1.4
"135" "Eryngium_campestre" 2 "Lasioglossum_gemmeus" 1.11
"136" "Eryngium_campestre" 2 "Lasioglossum_sp" 1
"137" "Eryngium_campestre" 2 "Epeolus_variegatus" 1.99
"138" "Eryngium_campestre" 2 "Lasioglossum_sp" 1.03
"139" "Eryngium_campestre" 2 "Colletes_sp" 2.22
"140" "Eryngium_campestre" 2 "Lasioglossum_sp" 1.31
"141" "Eryngium_campestre" 2 "Hylaeus_variegatus" 1.36
"142" "Eryngium_campestre" 2 "Lasioglossum_sp" 0.93
"143" "Eryngium_campestre" 2 "Lasioglossum_gemmeus" 1.04
"144" "Eryngium_campestre" 2 "Halictus_sp" 1.03
"145" "Eryngium_campestre" 2 "Hylaeus_nigritum" 0.94
